,code,county,fips
0,1,ANDERSON,48001
1,2,ANDREWS,48003
2,3,ANGELINA,48005
3,4,ARANSAS,48007
4,5,ARCHER,48009
5,6,ARMSTRONG,48011
6,7,ATASCOSA,48013
7,8,AUSTIN,48015
8,9,BAILEY,48017
9,10,BANDERA,48019
10,11,BASTROP,48021
11,12,BAYLOR,48023
12,13,BEE,48025
13,14,BELL,48027
14,15,BEXAR,48029
15,16,BLANCO,48031
16,17,BORDEN,48033
17,18,BOSQUE,48035
18,19,BOWIE,48037
19,20,BRAZORIA,48039
20,21,BRAZOS,48041
21,22,BREWSTER,48043
22,23,BRISCOE,48045
23,24,BROOKS,48047
24,25,BROWN,48049
25,26,BURLESON,48051
26,27,BURNET,48053
27,28,CALDWELL,48055
28,29,CALHOUN,48057
29,30,CALLAHAN,48059
30,31,CAMERON,48061
31,32,CAMP,48063
32,33,CARSON,48065
33,34,CASS,48067
34,35,CASTRO,48069
35,36,CHAMBERS,48071
36,37,CHEROKEE,48073
37,38,CHILDRESS,48075
38,39,CLAY,48077
39,40,COCHRAN,48079
40,41,COKE,48081
41,42,COLEMAN,48083
42,43,COLLIN,48085
43,44,COLLINGSWORTH,48087
44,45,COLORADO,48089
45,46,COMAL,48091
46,47,COMANCHE,48093
47,48,CONCHO,48095
48,49,COOKE,48097
49,50,CORYELL,48099
50,51,COTTLE,48101
51,52,CRANE,48103
52,53,CROCKETT,48105
53,54,CROSBY,48107
54,55,CULBERSON,48109
55,56,DALLAM,48111
56,57,DALLAS,48113
57,58,DAWSON,48115
58,59,DEAF SMITH,48117
59,60,DELTA,48119
60,61,DENTON,48121
61,62,DE WITT,48123
62,63,DICKENS,48125
63,64,DIMMIT,48127
64,65,DONLEY,48129
65,66,KENEDY,48261
66,67,DUVAL,48131
67,68,EASTLAND,48133
68,69,ECTOR,48135
69,70,EDWARDS,48137
70,71,ELLIS,48139
71,72,EL PASO,48141
72,73,ERATH,48143
73,74,FALLS,48145
74,75,FANNIN,48147
75,76,FAYETTE,48149
76,77,FISHER,48151
77,78,FLOYD,48153
78,79,FOARD,48155
79,80,FORT BEND,48157
80,81,FRANKLIN,48159
81,82,FREESTONE,48161
82,83,FRIO,48163
83,84,GAINES,48165
84,85,GALVESTON,48167
85,86,GARZA,48169
86,87,GILLESPIE,48171
87,88,GLASSCOCK,48173
88,89,GOLIAD,48175
89,90,GONZALES,48177
90,91,GRAY,48179
91,92,GRAYSON,48181
92,93,GREGG,48183
93,94,GRIMES,48185
94,95,GUADALUPE,48187
95,96,HALE,48189
96,97,HALL,48191
97,98,HAMILTON,48193
98,99,HANSFORD,48195
99,100,HARDEMAN,48197
100,101,HARDIN,48199
101,102,HARRIS,48201
102,103,HARRISON,48203
103,104,HARTLEY,48205
104,105,HASKELL,48207
105,106,HAYS,48209
106,107,HEMPHILL,48211
107,108,HENDERSON,48213
108,109,HIDALGO,48215
109,110,HILL,48217
110,111,HOCKLEY,48219
111,112,HOOD,48221
112,113,HOPKINS,48223
113,114,HOUSTON,48225
114,115,HOWARD,48227
115,116,HUDSPETH,48229
116,117,HUNT,48231
117,118,HUTCHINSON,48233
118,119,IRION,48235
119,120,JACK,48237
120,121,JACKSON,48239
121,122,JASPER,48241
122,123,JEFF DAVIS,48243
123,124,JEFFERSON,48245
124,125,JIM HOGG,48247
125,126,JIM WELLS,48249
126,127,JOHNSON,48251
127,128,JONES,48253
128,129,KARNES,48255
129,130,KAUFMAN,48257
130,131,KENDALL,48259
131,132,KENT,48263
132,133,KERR,48265
133,134,KIMBLE,48267
134,135,KING,48269
135,136,KINNEY,48271
136,137,KLEBERG,48273
137,138,KNOX,48275
138,139,LAMAR,48277
139,140,LAMB,48279
140,141,LAMPASAS,48281
141,142,LA SALLE,48283
142,143,LAVACA,48285
143,144,LEE,48287
144,145,LEON,48289
145,146,LIBERTY,48291
146,147,LIMESTONE,48293
147,148,LIPSCOMB,48295
148,149,LIVE OAK,48297
149,150,LLANO,48299
150,151,LOVING,48301
151,152,LUBBOCK,48303
152,153,LYNN,48305
153,154,MADISON,48313
154,155,MARION,48315
155,156,MARTIN,48317
156,157,MASON,48319
157,158,MATAGORDA,48321
158,159,MAVERICK,48323
159,160,MC CULLOCH,48307
160,161,MC LENNAN,48309
161,162,MC MULLEN,48311
162,163,MEDINA,48325
163,164,MENARD,48327
164,165,MIDLAND,48329
165,166,MILAM,48331
166,167,MILLS,48333
167,168,MITCHELL,48335
168,169,MONTAGUE,48337
169,170,MONTGOMERY,48339
170,171,MOORE,48341
171,172,MORRIS,48343
172,173,MOTLEY,48345
173,174,NACOGDOCHES,48347
174,175,NAVARRO,48349
175,176,NEWTON,48351
176,177,NOLAN,48353
177,178,NUECES,48355
178,179,OCHILTREE,48357
179,180,OLDHAM,48359
180,181,ORANGE,48361
181,182,PALO PINTO,48363
182,183,PANOLA,48365
183,184,PARKER,48367
184,185,PARMER,48369
185,186,PECOS,48371
186,187,POLK,48373
187,188,POTTER,48375
188,189,PRESIDIO,48377
189,190,RAINS,48379
190,191,RANDALL,48381
191,192,REAGAN,48383
192,193,REAL,48385
193,194,RED RIVER,48387
194,195,REEVES,48389
195,196,REFUGIO,48391
196,197,ROBERTS,48393
197,198,ROBERTSON,48395
198,199,ROCKWALL,48397
199,200,RUNNELS,48399
200,201,RUSK,48401
201,202,SABINE,48403
202,203,SAN AUGUSTINE,48405
203,204,SAN JACINTO,48407
204,205,SAN PATRICIO,48409
205,206,SAN SABA,48411
206,207,SCHLEICHER,48413
207,208,SCURRY,48415
208,209,SHACKELFORD,48417
209,210,SHELBY,48419
210,211,SHERMAN,48421
211,212,SMITH,48423
212,213,SOMERVELL,48425
213,214,STARR,48427
214,215,STEPHENS,48429
215,216,STERLING,48431
216,217,STONEWALL,48433
217,218,SUTTON,48435
218,219,SWISHER,48437
219,220,TARRANT,48439
220,221,TAYLOR,48441
221,222,TERRELL,48443
222,223,TERRY,48445
223,224,THROCKMORTON,48447
224,225,TITUS,48449
225,226,TOM GREEN,48451
226,227,TRAVIS,48453
227,228,TRINITY,48455
228,229,TYLER,48457
229,230,UPSHUR,48459
230,231,UPTON,48461
231,232,UVALDE,48463
232,233,VAL VERDE,48465
233,234,VAN ZANDT,48467
234,235,VICTORIA,48469
235,236,WALKER,48471
236,237,WALLER,48473
237,238,WARD,48475
238,239,WASHINGTON,48477
239,240,WEBB,48479
240,241,WHARTON,48481
241,242,WHEELER,48483
242,243,WICHITA,48485
243,244,WILBARGER,48487
244,245,WILLACY,48489
245,246,WILLIAMSON,48491
246,247,WILSON,48493
247,248,WINKLER,48495
248,249,WISE,48497
249,250,WOOD,48499
250,251,YOAKUM,48501
251,252,YOUNG,48503
252,253,ZAPATA,48505
253,254,ZAVALA,48507
254,299,NOT TEXAS,
